habitat,eventID,organismQuantity,occurrenceID,basisOfRecord
Bromopsis riparia,Askaniia_Nova_3,3,Askaniia_Nova_3_004,HumanObservation
Cardaria draba,Askaniia_Nova_3,r,Askaniia_Nova_3_005,HumanObservation
Carduus uncinatus,Askaniia_Nova_3,r,Askaniia_Nova_3_006,HumanObservation
Carex praecox,Askaniia_Nova_3,2,Askaniia_Nova_3_007,HumanObservation
Cerastium ucrainicum,Askaniia_Nova_3,2,Askaniia_Nova_3_008,HumanObservation
Crepis ramosissima,Askaniia_Nova_3,1,Askaniia_Nova_3_009,HumanObservation
Cruciata pedemontana,Askaniia_Nova_3,2,Askaniia_Nova_3_010,HumanObservation
Dianthus pallens,Askaniia_Nova_3,r,Askaniia_Nova_3_011,HumanObservation
Eryngium campestre,Askaniia_Nova_3,+,Askaniia_Nova_3_012,HumanObservation
Euphorbia leptocaula,Askaniia_Nova_3,+,Askaniia_Nova_3_013,HumanObservation
Euphorbia seguierana,Askaniia_Nova_3,r,Askaniia_Nova_3_014,HumanObservation
Falcaria vulgaris,Askaniia_Nova_3,1,Askaniia_Nova_3_015,HumanObservation
Festuca valesiaca,Askaniia_Nova_3,1,Askaniia_Nova_3_016,HumanObservation
Galatella villosa,Askaniia_Nova_3,r,Askaniia_Nova_3_017,HumanObservation
Galium ruthenicum,Askaniia_Nova_3,2,Askaniia_Nova_3_018,HumanObservation
Galium spurium,Askaniia_Nova_3,+,Askaniia_Nova_3_019,HumanObservation
Goniolimon tataricum,Askaniia_Nova_3,1,Askaniia_Nova_3_020,HumanObservation
Herniaria besseri,Askaniia_Nova_3,r,Askaniia_Nova_3_021,HumanObservation
Lactuca serriola,Askaniia_Nova_3,+,Askaniia_Nova_3_022,HumanObservation
Linaria biebersteinii,Askaniia_Nova_3,1,Askaniia_Nova_3_023,HumanObservation
Medicago romanica,Askaniia_Nova_3,+,Askaniia_Nova_3_024,HumanObservation
Onosma species,Askaniia_Nova_3,r,Askaniia_Nova_3_025,HumanObservation
Phlomis pungens,Askaniia_Nova_3,+,Askaniia_Nova_3_026,HumanObservation
Phlomoides hybrida,Askaniia_Nova_3,1,Askaniia_Nova_3_027,HumanObservation
Poa angustifolia,Askaniia_Nova_3,2,Askaniia_Nova_3_028,HumanObservation
Potentilla semilaciniosa,Askaniia_Nova_3,1,Askaniia_Nova_3_029,HumanObservation
Scorzonera mollis,Askaniia_Nova_3,+,Askaniia_Nova_3_030,HumanObservation
Serratula erucifolia,Askaniia_Nova_3,r,Askaniia_Nova_3_031,HumanObservation
Seseli tortuosum,Askaniia_Nova_3,+,Askaniia_Nova_3_032,HumanObservation
Sisymbrium polymorphum,Askaniia_Nova_3,+,Askaniia_Nova_3_033,HumanObservation
Stipa ucrainica,Askaniia_Nova_3,2,Askaniia_Nova_3_034,HumanObservation
Trinia hispida,Askaniia_Nova_3,r,Askaniia_Nova_3_035,HumanObservation
Valerianella species,Askaniia_Nova_3,1,Askaniia_Nova_3_036,HumanObservation
Veronica species,Askaniia_Nova_3,1,Askaniia_Nova_3_037,HumanObservation
Viola kitaibeliana,Askaniia_Nova_3,1,Askaniia_Nova_3_038,HumanObservation
Allium paczoskianum,Askaniia_Nova_4,+,Askaniia_Nova_4_001,HumanObservation
Artemisia austriaca,Askaniia_Nova_4,3,Askaniia_Nova_4_002,HumanObservation
Bellevalia sarmatica,Askaniia_Nova_4,r,Askaniia_Nova_4_003,HumanObservation
Carduus uncinatus,Askaniia_Nova_4,r,Askaniia_Nova_4_004,HumanObservation
Carex praecox,Askaniia_Nova_4,1,Askaniia_Nova_4_005,HumanObservation
Centaurea diffusa,Askaniia_Nova_4,+,Askaniia_Nova_4_006,HumanObservation
Cerastium ucrainicum,Askaniia_Nova_4,1,Askaniia_Nova_4_007,HumanObservation
Chondrilla juncea,Askaniia_Nova_4,r,Askaniia_Nova_4_008,HumanObservation
Convolvulus arvensis,Askaniia_Nova_4,1,Askaniia_Nova_4_009,HumanObservation
Crepis ramosissima,Askaniia_Nova_4,1,Askaniia_Nova_4_010,HumanObservation
Cruciata pedemontana,Askaniia_Nova_4,1,Askaniia_Nova_4_011,HumanObservation
Eryngium campestre,Askaniia_Nova_4,+,Askaniia_Nova_4_012,HumanObservation
Euphorbia leptocaula,Askaniia_Nova_4,r,Askaniia_Nova_4_013,HumanObservation
Euphorbia seguierana,Askaniia_Nova_4,1,Askaniia_Nova_4_014,HumanObservation
Falcaria vulgaris,Askaniia_Nova_4,2,Askaniia_Nova_4_015,HumanObservation
Festuca valesiaca,Askaniia_Nova_4,2,Askaniia_Nova_4_016,HumanObservation
Galium ruthenicum,Askaniia_Nova_4,1,Askaniia_Nova_4_017,HumanObservation
Galium spurium,Askaniia_Nova_4,+,Askaniia_Nova_4_018,HumanObservation
Goniolimon tataricum,Askaniia_Nova_4,1,Askaniia_Nova_4_019,HumanObservation
Koeleria cristata,Askaniia_Nova_4,2,Askaniia_Nova_4_020,HumanObservation
Lactuca serriola,Askaniia_Nova_4,1,Askaniia_Nova_4_021,HumanObservation
Leymus ramosus,Askaniia_Nova_4,2,Askaniia_Nova_4_022,HumanObservation
Limonium sareptanum,Askaniia_Nova_4,r,Askaniia_Nova_4_023,HumanObservation
Linaria biebersteinii,Askaniia_Nova_4,2,Askaniia_Nova_4_024,HumanObservation
Linum austriacum,Askaniia_Nova_4,1,Askaniia_Nova_4_025,HumanObservation
Onosma species,Askaniia_Nova_4,r,Askaniia_Nova_4_026,HumanObservation
Phlomis pungens,Askaniia_Nova_4,1,Askaniia_Nova_4_027,HumanObservation
Poa angustifolia,Askaniia_Nova_4,1,Askaniia_Nova_4_028,HumanObservation
Potentilla argentea,Askaniia_Nova_4,r,Askaniia_Nova_4_029,HumanObservation
Seseli tortuosum,Askaniia_Nova_4,2,Askaniia_Nova_4_030,HumanObservation
Sisymbrium altissimum,Askaniia_Nova_4,+,Askaniia_Nova_4_031,HumanObservation
Sisymbrium polymorphum,Askaniia_Nova_4,1,Askaniia_Nova_4_032,HumanObservation
Stipa capillata,Askaniia_Nova_4,r,Askaniia_Nova_4_033,HumanObservation
Stipa ucrainica,Askaniia_Nova_4,+,Askaniia_Nova_4_034,HumanObservation
Trinia hispida,Askaniia_Nova_4,3,Askaniia_Nova_4_035,HumanObservation
Valerianella species,Askaniia_Nova_4,+,Askaniia_Nova_4_036,HumanObservation
Verbascum phoeniceum,Askaniia_Nova_4,1,Askaniia_Nova_4_037,HumanObservation
Veronica species,Askaniia_Nova_4,2,Askaniia_Nova_4_038,HumanObservation
Viola kitaibeliana,Askaniia_Nova_4,1,Askaniia_Nova_4_039,HumanObservation
Allium paczoskianum,Askaniia_Nova_5,+,Askaniia_Nova_5_001,HumanObservation
Arabidopsis thaliana,Askaniia_Nova_5,1,Askaniia_Nova_5_002,HumanObservation
Artemisia austriaca,Askaniia_Nova_5,3,Askaniia_Nova_5_003,HumanObservation
Bellevalia sarmatica,Askaniia_Nova_5,1,Askaniia_Nova_5_004,HumanObservation
Bromopsis riparia,Askaniia_Nova_5,+,Askaniia_Nova_5_005,HumanObservation
Carduus uncinatus,Askaniia_Nova_5,+,Askaniia_Nova_5_006,HumanObservation
Cerastium ucrainicum,Askaniia_Nova_5,1,Askaniia_Nova_5_007,HumanObservation
Crepis ramosissima,Askaniia_Nova_5,1,Askaniia_Nova_5_008,HumanObservation
Cruciata pedemontana,Askaniia_Nova_5,2,Askaniia_Nova_5_009,HumanObservation
Eryngium campestre,Askaniia_Nova_5,1,Askaniia_Nova_5_010,HumanObservation
Euphorbia leptocaula,Askaniia_Nova_5,+,Askaniia_Nova_5_011,HumanObservation
Euphorbia seguierana,Askaniia_Nova_5,1,Askaniia_Nova_5_012,HumanObservation
Falcaria vulgaris,Askaniia_Nova_5,2,Askaniia_Nova_5_013,HumanObservation
Festuca valesiaca,Askaniia_Nova_5,2,Askaniia_Nova_5_014,HumanObservation
Galium humifusum,Askaniia_Nova_5,r,Askaniia_Nova_5_015,HumanObservation
Galium ruthenicum,Askaniia_Nova_5,+,Askaniia_Nova_5_016,HumanObservation
Galium spurium,Askaniia_Nova_5,1,Askaniia_Nova_5_017,HumanObservation
Goniolimon tataricum,Askaniia_Nova_5,+,Askaniia_Nova_5_018,HumanObservation
Hylotelephium stepposum,Askaniia_Nova_5,+,Askaniia_Nova_5_019,HumanObservation
Koeleria cristata,Askaniia_Nova_5,1,Askaniia_Nova_5_020,HumanObservation
Lagoseris sancta,Askaniia_Nova_5,1,Askaniia_Nova_5_021,HumanObservation
Linaria biebersteinii,Askaniia_Nova_5,1,Askaniia_Nova_5_022,HumanObservation
Linum austriacum,Askaniia_Nova_5,1,Askaniia_Nova_5_023,HumanObservation
Medicago romanica,Askaniia_Nova_5,r,Askaniia_Nova_5_024,HumanObservation
Phelipanche lanuginosa,Askaniia_Nova_5,1,Askaniia_Nova_5_025,HumanObservation
Phlomis pungens,Askaniia_Nova_5,+,Askaniia_Nova_5_026,HumanObservation
Phlomoides hybrida,Askaniia_Nova_5,+,Askaniia_Nova_5_027,HumanObservation
Poa angustifolia,Askaniia_Nova_5,1,Askaniia_Nova_5_028,HumanObservation
Salvia aethiopis,Askaniia_Nova_5,r,Askaniia_Nova_5_029,HumanObservation
Senecio jacobaea,Askaniia_Nova_5,+,Askaniia_Nova_5_030,HumanObservation
Serratula erucifolia,Askaniia_Nova_5,+,Askaniia_Nova_5_031,HumanObservation
Seseli tortuosum,Askaniia_Nova_5,1,Askaniia_Nova_5_032,HumanObservation
Sisymbrium polymorphum,Askaniia_Nova_5,r,Askaniia_Nova_5_033,HumanObservation
Stipa capillata,Askaniia_Nova_5,2,Askaniia_Nova_5_034,HumanObservation
Stipa ucrainica,Askaniia_Nova_5,1,Askaniia_Nova_5_035,HumanObservation
Thesium arvense,Askaniia_Nova_5,1,Askaniia_Nova_5_036,HumanObservation
Tragopogon major,Askaniia_Nova_5,+,Askaniia_Nova_5_037,HumanObservation
Trinia hispida,Askaniia_Nova_5,2,Askaniia_Nova_5_038,HumanObservation
Verbascum phoeniceum,Askaniia_Nova_5,+,Askaniia_Nova_5_039,HumanObservation
Veronica species,Askaniia_Nova_5,1,Askaniia_Nova_5_040,HumanObservation
Viola kitaibeliana,Askaniia_Nova_5,1,Askaniia_Nova_5_041,HumanObservation
Allium paczoskianum,Askaniia_Nova_6,r,Askaniia_Nova_6_001,HumanObservation
Anisantha tectorum,Askaniia_Nova_6,r,Askaniia_Nova_6_002,HumanObservation
Artemisia austriaca,Askaniia_Nova_6,1,Askaniia_Nova_6_003,HumanObservation
Bellevalia sarmatica,Askaniia_Nova_6,+,Askaniia_Nova_6_004,HumanObservation
Cardaria draba,Askaniia_Nova_6,r,Askaniia_Nova_6_005,HumanObservation
Carduus uncinatus,Askaniia_Nova_6,r,Askaniia_Nova_6_006,HumanObservation
Centaurea diffusa,Askaniia_Nova_6,r,Askaniia_Nova_6_007,HumanObservation
Chondrilla juncea,Askaniia_Nova_6,1,Askaniia_Nova_6_008,HumanObservation
Cirsium arvense,Askaniia_Nova_6,+,Askaniia_Nova_6_009,HumanObservation
Crepis ramosissima,Askaniia_Nova_6,1,Askaniia_Nova_6_010,HumanObservation
Cruciata pedemontana,Askaniia_Nova_6,2,Askaniia_Nova_6_011,HumanObservation
Eryngium campestre,Askaniia_Nova_6,1,Askaniia_Nova_6_012,HumanObservation
Euphorbia leptocaula,Askaniia_Nova_6,+,Askaniia_Nova_6_013,HumanObservation
Euphorbia seguierana,Askaniia_Nova_6,1,Askaniia_Nova_6_014,HumanObservation
Falcaria vulgaris,Askaniia_Nova_6,1,Askaniia_Nova_6_015,HumanObservation
Festuca valesiaca,Askaniia_Nova_6,1,Askaniia_Nova_6_016,HumanObservation
Hypericum perforatum,Askaniia_Nova_6,r,Askaniia_Nova_6_017,HumanObservation
Koeleria cristata,Askaniia_Nova_6,+,Askaniia_Nova_6_018,HumanObservation
Lactuca serriola,Askaniia_Nova_6,+,Askaniia_Nova_6_019,HumanObservation
Limonium sareptanum,Askaniia_Nova_6,+,Askaniia_Nova_6_020,HumanObservation
Linaria biebersteinii,Askaniia_Nova_6,1,Askaniia_Nova_6_021,HumanObservation
Linum austriacum,Askaniia_Nova_6,+,Askaniia_Nova_6_022,HumanObservation
Phlomis pungens,Askaniia_Nova_6,+,Askaniia_Nova_6_023,HumanObservation
Poa angustifolia,Askaniia_Nova_6,2,Askaniia_Nova_6_024,HumanObservation
Senecio vernalis,Askaniia_Nova_6,+,Askaniia_Nova_6_025,HumanObservation
Seseli tortuosum,Askaniia_Nova_6,1,Askaniia_Nova_6_026,HumanObservation
Stipa capillata,Askaniia_Nova_6,5,Askaniia_Nova_6_027,HumanObservation
Stipa ucrainica,Askaniia_Nova_6,1,Askaniia_Nova_6_028,HumanObservation
Tragopogon major,Askaniia_Nova_6,+,Askaniia_Nova_6_029,HumanObservation
Valerianella species,Askaniia_Nova_6,1,Askaniia_Nova_6_030,HumanObservation
Veronica species,Askaniia_Nova_6,2,Askaniia_Nova_6_031,HumanObservation
Viola kitaibeliana,Askaniia_Nova_6,1,Askaniia_Nova_6_032,HumanObservation
Achillea micranthoides,Askaniia_Nova_7,+,Askaniia_Nova_7_001,HumanObservation
Androsace elongata,Askaniia_Nova_7,2,Askaniia_Nova_7_002,HumanObservation
Artemisia austriaca,Askaniia_Nova_7,1,Askaniia_Nova_7_003,HumanObservation
Carduus uncinatus,Askaniia_Nova_7,1,Askaniia_Nova_7_004,HumanObservation
Carex praecox,Askaniia_Nova_7,2,Askaniia_Nova_7_005,HumanObservation
Centaurea diffusa,Askaniia_Nova_7,+,Askaniia_Nova_7_006,HumanObservation
Cerastium ucrainicum,Askaniia_Nova_7,2,Askaniia_Nova_7_007,HumanObservation
Chondrilla juncea,Askaniia_Nova_7,+,Askaniia_Nova_7_008,HumanObservation
Convolvulus arvensis,Askaniia_Nova_7,1,Askaniia_Nova_7_009,HumanObservation
Crepis ramosissima,Askaniia_Nova_7,1,Askaniia_Nova_7_010,HumanObservation
Dianthus pallens,Askaniia_Nova_7,+,Askaniia_Nova_7_011,HumanObservation
Eryngium campestre,Askaniia_Nova_7,1,Askaniia_Nova_7_012,HumanObservation
Falcaria vulgaris,Askaniia_Nova_7,2,Askaniia_Nova_7_013,HumanObservation
Festuca valesiaca,Askaniia_Nova_7,3,Askaniia_Nova_7_014,HumanObservation
Galium humifusum,Askaniia_Nova_7,2,Askaniia_Nova_7_015,HumanObservation
Galium ruthenicum,Askaniia_Nova_7,1,Askaniia_Nova_7_016,HumanObservation
Goniolimon tataricum,Askaniia_Nova_7,+,Askaniia_Nova_7_017,HumanObservation
Herniaria besseri,Askaniia_Nova_7,+,Askaniia_Nova_7_018,HumanObservation
Iris pumila,Askaniia_Nova_7,r,Askaniia_Nova_7_019,HumanObservation
Koeleria cristata,Askaniia_Nova_7,2,Askaniia_Nova_7_020,HumanObservation
Lactuca tatarica,Askaniia_Nova_7,+,Askaniia_Nova_7_021,HumanObservation
Lepidium perfoliatum,Askaniia_Nova_7,r,Askaniia_Nova_7_022,HumanObservation
Limonium sareptanum,Askaniia_Nova_7,1,Askaniia_Nova_7_023,HumanObservation
Linaria biebersteinii,Askaniia_Nova_7,1,Askaniia_Nova_7_024,HumanObservation
Linum austriacum,Askaniia_Nova_7,+,Askaniia_Nova_7_025,HumanObservation
Medicago romanica,Askaniia_Nova_7,1,Askaniia_Nova_7_026,HumanObservation
Phlomis pungens,Askaniia_Nova_7,+,Askaniia_Nova_7_027,HumanObservation
Phlomoides hybrida,Askaniia_Nova_7,1,Askaniia_Nova_7_028,HumanObservation
Potentilla semilaciniosa,Askaniia_Nova_7,+,Askaniia_Nova_7_029,HumanObservation
Prangos odontalgica,Askaniia_Nova_7,r,Askaniia_Nova_7_030,HumanObservation
Salvia tesquicola,Askaniia_Nova_7,1,Askaniia_Nova_7_031,HumanObservation
Scorzonera mollis,Askaniia_Nova_7,+,Askaniia_Nova_7_032,HumanObservation
Senecio vernalis,Askaniia_Nova_7,r,Askaniia_Nova_7_033,HumanObservation
Serratula erucifolia,Askaniia_Nova_7,+,Askaniia_Nova_7_034,HumanObservation
Seseli tortuosum,Askaniia_Nova_7,2,Askaniia_Nova_7_035,HumanObservation
Silene viscosa,Askaniia_Nova_7,r,Askaniia_Nova_7_036,HumanObservation
Sisymbrium polymorphum,Askaniia_Nova_7,+,Askaniia_Nova_7_037,HumanObservation
Stipa capillata,Askaniia_Nova_7,1,Askaniia_Nova_7_038,HumanObservation
Stipa ucrainica,Askaniia_Nova_7,2,Askaniia_Nova_7_039,HumanObservation
Tanacetum millefolium,Askaniia_Nova_7,2,Askaniia_Nova_7_040,HumanObservation
Thesium arvense,Askaniia_Nova_7,1,Askaniia_Nova_7_041,HumanObservation
Tragopogon major,Askaniia_Nova_7,r,Askaniia_Nova_7_042,HumanObservation
Valerianella species,Askaniia_Nova_7,2,Askaniia_Nova_7_043,HumanObservation
Veronica species,Askaniia_Nova_7,2,Askaniia_Nova_7_044,HumanObservation
Vicia hirsuta,Askaniia_Nova_7,1,Askaniia_Nova_7_045,HumanObservation
Carduus uncinatus,Askaniia_Nova_8,+,Askaniia_Nova_8_001,HumanObservation
Carex praecox,Askaniia_Nova_8,2,Askaniia_Nova_8_002,HumanObservation
Chenopodium album,Askaniia_Nova_8,+,Askaniia_Nova_8_003,HumanObservation
Chondrilla juncea,Askaniia_Nova_8,r,Askaniia_Nova_8_004,HumanObservation
Eryngium campestre,Askaniia_Nova_8,+,Askaniia_Nova_8_005,HumanObservation
Euphorbia leptocaula,Askaniia_Nova_8,+,Askaniia_Nova_8_006,HumanObservation
Falcaria vulgaris,Askaniia_Nova_8,1,Askaniia_Nova_8_007,HumanObservation
Galium ruthenicum,Askaniia_Nova_8,2,Askaniia_Nova_8_008,HumanObservation
Galium spurium,Askaniia_Nova_8,r,Askaniia_Nova_8_009,HumanObservation
Koeleria cristata,Askaniia_Nova_8,+,Askaniia_Nova_8_010,HumanObservation
Lactuca serriola,Askaniia_Nova_8,1,Askaniia_Nova_8_011,HumanObservation
Lappula squarrosa,Askaniia_Nova_8,r,Askaniia_Nova_8_012,HumanObservation
Limonium sareptanum,Askaniia_Nova_8,1,Askaniia_Nova_8_013,HumanObservation
Linaria biebersteinii,Askaniia_Nova_8,+,Askaniia_Nova_8_014,HumanObservation
Medicago romanica,Askaniia_Nova_8,1,Askaniia_Nova_8_015,HumanObservation
Pastinaca clausii,Askaniia_Nova_8,r,Askaniia_Nova_8_016,HumanObservation
Phlomis pungens,Askaniia_Nova_8,+,Askaniia_Nova_8_017,HumanObservation
Phlomoides hybrida,Askaniia_Nova_8,1,Askaniia_Nova_8_018,HumanObservation
Poa angustifolia,Askaniia_Nova_8,2,Askaniia_Nova_8_019,HumanObservation
Potentilla semilaciniosa,Askaniia_Nova_8,r,Askaniia_Nova_8_020,HumanObservation
Salvia tesquicola,Askaniia_Nova_8,1,Askaniia_Nova_8_021,HumanObservation
Senecio vernalis,Askaniia_Nova_8,+,Askaniia_Nova_8_022,HumanObservation
Serratula erucifolia,Askaniia_Nova_8,r,Askaniia_Nova_8_023,HumanObservation
Sisymbrium altissimum,Askaniia_Nova_8,r,Askaniia_Nova_8_024,HumanObservation
Stipa capillata,Askaniia_Nova_8,2,Askaniia_Nova_8_025,HumanObservation
Verbascum phoeniceum,Askaniia_Nova_8,r,Askaniia_Nova_8_026,HumanObservation
Bromopsis inermis,Askaniia_Nova_9,4,Askaniia_Nova_9_001,HumanObservation
Carex praecox,Askaniia_Nova_9,2,Askaniia_Nova_9_002,HumanObservation
Convolvulus arvensis,Askaniia_Nova_9,2,Askaniia_Nova_9_003,HumanObservation
Eryngium campestre,Askaniia_Nova_9,1,Askaniia_Nova_9_004,HumanObservation
Falcaria vulgaris,Askaniia_Nova_9,1,Askaniia_Nova_9_005,HumanObservation
Galium ruthenicum,Askaniia_Nova_9,1,Askaniia_Nova_9_006,HumanObservation
Hieracium pilosella,Askaniia_Nova_9,1,Askaniia_Nova_9_007,HumanObservation
Lactuca serriola,Askaniia_Nova_9,+,Askaniia_Nova_9_008,HumanObservation
Limonium sareptanum,Askaniia_Nova_9,1,Askaniia_Nova_9_009,HumanObservation
Pastinaca clausii,Askaniia_Nova_9,r,Askaniia_Nova_9_010,HumanObservation
Phlomis pungens,Askaniia_Nova_9,+,Askaniia_Nova_9_011,HumanObservation
Phlomoides scythica,Askaniia_Nova_9,2,Askaniia_Nova_9_012,HumanObservation
Salvia tesquicola,Askaniia_Nova_9,+,Askaniia_Nova_9_013,HumanObservation
Sisymbrium altissimum,Askaniia_Nova_9,+,Askaniia_Nova_9_014,HumanObservation
Stipa capillata,Askaniia_Nova_9,1,Askaniia_Nova_9_015,HumanObservation
Allium paczoskianum,Askaniia_Nova_10,r,Askaniia_Nova_10_001,HumanObservation
Artemisia austriaca,Askaniia_Nova_10,1,Askaniia_Nova_10_002,HumanObservation
Bellevalia sarmatica,Askaniia_Nova_10,1,Askaniia_Nova_10_003,HumanObservation
Bromopsis inermis,Askaniia_Nova_10,1,Askaniia_Nova_10_004,HumanObservation
Carduus uncinatus,Askaniia_Nova_10,+,Askaniia_Nova_10_005,HumanObservation
Carex praecox,Askaniia_Nova_10,2,Askaniia_Nova_10_006,HumanObservation
Cruciata pedemontana,Askaniia_Nova_10,1,Askaniia_Nova_10_007,HumanObservation
Dianthus pallens,Askaniia_Nova_10,r,Askaniia_Nova_10_008,HumanObservation
Eryngium campestre,Askaniia_Nova_10,1,Askaniia_Nova_10_009,HumanObservation
Euphorbia seguierana,Askaniia_Nova_10,+,Askaniia_Nova_10_010,HumanObservation
Falcaria vulgaris,Askaniia_Nova_10,2,Askaniia_Nova_10_011,HumanObservation
Festuca valesiaca,Askaniia_Nova_10,1,Askaniia_Nova_10_012,HumanObservation
Galium ruthenicum,Askaniia_Nova_10,2,Askaniia_Nova_10_013,HumanObservation
Koeleria cristata,Askaniia_Nova_10,1,Askaniia_Nova_10_014,HumanObservation
Lactuca tatarica,Askaniia_Nova_10,1,Askaniia_Nova_10_015,HumanObservation
Limonium sareptanum,Askaniia_Nova_10,1,Askaniia_Nova_10_016,HumanObservation
Linaria biebersteinii,Askaniia_Nova_10,+,Askaniia_Nova_10_017,HumanObservation
Linum austriacum,Askaniia_Nova_10,+,Askaniia_Nova_10_018,HumanObservation
Medicago romanica,Askaniia_Nova_10,1,Askaniia_Nova_10_019,HumanObservation
Phlomis pungens,Askaniia_Nova_10,1,Askaniia_Nova_10_020,HumanObservation
Phlomoides hybrida,Askaniia_Nova_10,+,Askaniia_Nova_10_021,HumanObservation
Poa angustifolia,Askaniia_Nova_10,2,Askaniia_Nova_10_022,HumanObservation
